,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Energy city
0,12/31/2020/00:00,8.81577,73.8,0.08549,0.051,0.119,57929.6025895875
1,12/31/2020/00:10,8.66642,74.5,0.08549,0.07,0.085,57929.6025895875
4,12/31/2020/00:40,8.15863,75.7,0.08343,0.048,0.085,57929.6025895875
6,12/31/2020/01:00,7.87023,77.7,0.0824,0.048,0.096,56266.99148622
7,12/31/2020/01:10,7.720880000000001,78.2,0.08755,0.055,0.093,56266.99148622
11,12/31/2020/01:50,7.695130000000001,76.7,0.08549,0.059,0.126,56266.99148622
13,12/31/2020/02:10,7.17704,78.8,0.08652,0.07,0.134,52920.49146378001
23,12/31/2020/03:50,7.00915,76.2,0.08343,0.059,0.134,50389.77360213333
30,12/31/2020/05:00,7.1420200000000005,72.9,0.08446,0.055,0.134,50111.80206107251
31,12/31/2020/05:10,6.9195400000000005,75.8,0.0824,0.051,0.152,49032.934742978
33,12/31/2020/05:30,6.857740000000001,73.5,0.0824,0.044,0.104,49547.76958936429
34,12/31/2020/05:40,6.57346,76.9,0.08343,0.073,0.148,51275.37638445285
38,12/31/2020/06:20,6.97207,75.6,0.08446,0.099,0.063,50946.3264563575
40,12/31/2020/06:40,6.60024,76.7,0.08446,0.037,0.119,50946.3264563575
43,12/31/2020/07:10,6.70839,74.6,0.08652,0.055,0.134,44288.661741857504
49,12/31/2020/08:10,7.01121,73.1,0.08446,0.955,0.949,44288.661741857504
52,12/31/2020/08:40,6.53638,74.8,0.08446,12.64,10.13,54251.228256114286
61,12/31/2020/10:10,8.07108,71.3,2.7398,257.9,31.01,56514.31305526601
62,12/31/2020/10:20,8.23588,69.85,5.0779,282.7,31.96,56514.31305526601
65,12/31/2020/10:50,9.26279,66.14,5.06554,349.6,33.41,63568.38542058444
70,12/31/2020/11:40,13.4518,53.52,0.08446,430.9,37.58,70829.76454456251
71,12/31/2020/11:50,14.832,53.26,0.0824,437.5,43.46,70829.76454456251
75,12/31/2020/12:30,18.076500000000003,58.7,0.07725,486.1,39.46,68824.01168018571
80,12/31/2020/13:20,18.2619,59.33,0.07828,498.8,44.65,68824.01168018571
83,12/31/2020/13:50,18.2825,52.45,0.07931,482.4,38.65,70829.76454456251
86,12/31/2020/14:20,18.2516,55.86,0.07931,456.1,39.95,67025.91188361125
90,12/31/2020/15:00,18.1692,57.26,0.07931,409.0,44.9,67025.91188361125
95,12/31/2020/15:50,17.8602,58.7,0.07725,149.5,67.85,65253.56307786
96,12/31/2020/16:00,17.849899999999998,59.23,0.07931,209.1,128.9,65253.56307786
98,12/31/2020/16:20,18.0662,58.3,0.07828,241.3,246.0,65253.56307786
103,12/31/2020/17:10,17.870500000000003,59.3,0.07931,132.0,163.0,78271.71694394
107,12/31/2020/17:50,17.2113,61.87,0.0885799999999999,26.51,28.08,92564.55023316
108,12/31/2020/18:00,16.9744,63.27,0.0824,18.0,18.29,94020.88071586001
109,12/31/2020/18:10,16.7787,63.94,0.08034,6.994,7.02,94020.88071586001
110,12/31/2020/18:20,16.5727,64.87,0.08034,2.818,2.763,91678.5442458143
114,12/31/2020/19:00,14.9453,68.35,0.07931,0.055,0.085,92418.16579532858
116,12/31/2020/19:20,14.1625,70.7,0.08137,0.055,0.126,91611.9054205857
118,12/31/2020/19:40,13.905,70.6,0.08034,0.059,0.074,92418.16579532858
120,12/31/2020/20:00,13.8226,71.2,0.07828,0.073,0.085,92418.16579532858
128,12/31/2020/21:20,13.8947,73.1,0.07931,0.044,0.085,85620.15821188001
130,12/31/2020/21:40,14.2552,68.78,0.07622,0.066,0.093,89780.55266918571
134,12/31/2020/22:20,15.6354,63.97,0.07725,0.081,0.093,84140.9473339
144,01/01/2021/00:00,13.4003,75.8,0.07828,0.033,0.163,67453.35902068335
147,01/01/2021/00:30,12.6793,79.2,0.07828,0.091,0.134,66416.65861195714
150,01/01/2021/01:00,13.3282,78.1,0.07622,0.084,0.108,57570.972593355546
152,01/01/2021/01:20,13.4106,77.5,0.08343,0.062,0.178,57130.69560467274
157,01/01/2021/02:10,13.5651,77.3,0.07931,0.066,0.13,50674.1545902
158,01/01/2021/02:20,13.493,75.6,0.07931,0.077,0.156,49967.40385122
165,01/01/2021/03:30,13.0604,79.4,0.08137,0.059,0.156,49304.6345572
167,01/01/2021/03:50,12.7102,80.6,0.08034,0.088,0.119,48549.96355438001
171,01/01/2021/04:30,12.7617,81.5,0.07622,0.088,0.119,48549.96355438001
