,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Energy city
0,12/31/2020/00:00,8.81577,73.8,0.08549,0.051,0.119,64266.42365972202
1,12/31/2020/00:10,8.66642,74.5,0.08549,0.07,0.085,64087.31111591403
4,12/31/2020/00:40,8.15863,75.7,0.08343,0.048,0.085,65278.610803775045
6,12/31/2020/01:00,7.87023,77.7,0.0824,0.048,0.096,58029.58332828798
7,12/31/2020/01:10,7.720880000000001,78.2,0.08755,0.055,0.093,57609.91360510231
11,12/31/2020/01:50,7.695130000000001,76.7,0.08549,0.059,0.126,57949.76913618103
13,12/31/2020/02:10,7.17704,78.8,0.08652,0.07,0.134,53580.723135068285
23,12/31/2020/03:50,7.00915,76.2,0.08343,0.059,0.134,50355.30971457989
30,12/31/2020/05:00,7.1420200000000005,72.9,0.08446,0.055,0.134,50263.75697585691
31,12/31/2020/05:10,6.9195400000000005,75.8,0.0824,0.051,0.152,50284.96712513511
33,12/31/2020/05:30,6.857740000000001,73.5,0.0824,0.044,0.104,50777.568559415784
34,12/31/2020/05:40,6.57346,76.9,0.08343,0.073,0.148,51468.64039498623
38,12/31/2020/06:20,6.97207,75.6,0.08446,0.099,0.063,50973.89508353101
40,12/31/2020/06:40,6.60024,76.7,0.08446,0.037,0.119,51745.951461552504
43,12/31/2020/07:10,6.70839,74.6,0.08652,0.055,0.134,43663.69483009752
49,12/31/2020/08:10,7.01121,73.1,0.08446,0.955,0.949,45467.07051065651
52,12/31/2020/08:40,6.53638,74.8,0.08446,12.64,10.13,49376.99041827429
61,12/31/2020/10:10,8.07108,71.3,2.7398,257.9,31.01,57490.170772400925
62,12/31/2020/10:20,8.23588,69.85,5.0779,282.7,31.96,58241.47247902016
65,12/31/2020/10:50,9.26279,66.14,5.06554,349.6,33.41,63817.193822037596
70,12/31/2020/11:40,13.4518,53.52,0.08446,430.9,37.58,68298.07267183783
71,12/31/2020/11:50,14.832,53.26,0.0824,437.5,43.46,68379.20959643384
75,12/31/2020/12:30,18.076500000000003,58.7,0.07725,486.1,39.46,67413.27963738129
80,12/31/2020/13:20,18.2619,59.33,0.07828,498.8,44.65,68077.03437678398
83,12/31/2020/13:50,18.2825,52.45,0.07931,482.4,38.65,69019.19053324433
86,12/31/2020/14:20,18.2516,55.86,0.07931,456.1,39.95,67297.06205983448
90,12/31/2020/15:00,18.1692,57.26,0.07931,409.0,44.9,67120.52833024006
95,12/31/2020/15:50,17.8602,58.7,0.07725,149.5,67.85,65284.97520144078
96,12/31/2020/16:00,17.849899999999998,59.23,0.07931,209.1,128.9,65645.14909006111
98,12/31/2020/16:20,18.0662,58.3,0.07828,241.3,246.0,64726.97625984354
103,12/31/2020/17:10,17.870500000000003,59.3,0.07931,132.0,163.0,76387.93251355902
107,12/31/2020/17:50,17.2113,61.87,0.0885799999999999,26.51,28.08,90899.79477583096
108,12/31/2020/18:00,16.9744,63.27,0.0824,18.0,18.29,93468.72875563097
109,12/31/2020/18:10,16.7787,63.94,0.08034,6.994,7.02,92001.44600256498
110,12/31/2020/18:20,16.5727,64.87,0.08034,2.818,2.763,91086.21923175303
114,12/31/2020/19:00,14.9453,68.35,0.07931,0.055,0.085,92325.85453620701
116,12/31/2020/19:20,14.1625,70.7,0.08137,0.055,0.126,91570.07287285106
118,12/31/2020/19:40,13.905,70.6,0.08034,0.059,0.074,92621.60063587507
120,12/31/2020/20:00,13.8226,71.2,0.07828,0.073,0.085,93167.18357118109
128,12/31/2020/21:20,13.8947,73.1,0.07931,0.044,0.085,87651.77553342495
130,12/31/2020/21:40,14.2552,68.78,0.07622,0.066,0.093,89037.66752498696
134,12/31/2020/22:20,15.6354,63.97,0.07725,0.081,0.093,84124.15850106889
144,01/01/2021/00:00,13.4003,75.8,0.07828,0.033,0.163,64972.74824763501
147,01/01/2021/00:30,12.6793,79.2,0.07828,0.091,0.134,62439.653545284964
150,01/01/2021/01:00,13.3282,78.1,0.07622,0.084,0.108,56150.007212682016
152,01/01/2021/01:20,13.4106,77.5,0.08343,0.062,0.178,56603.61262696499
157,01/01/2021/02:10,13.5651,77.3,0.07931,0.066,0.13,51348.674199513036
158,01/01/2021/02:20,13.493,75.6,0.07931,0.077,0.156,50531.069653574035
165,01/01/2021/03:30,13.0604,79.4,0.08137,0.059,0.156,49723.92737115698
167,01/01/2021/03:50,12.7102,80.6,0.08034,0.088,0.119,49009.85932585001
171,01/01/2021/04:30,12.7617,81.5,0.07622,0.088,0.119,49357.13463672999
173,01/01/2021/04:50,12.3291,82.8,0.07931,0.066,0.178,49589.466857723004
176,01/01/2021/05:20,12.0922,82.8,0.08343,0.106,0.126,51134.433916160015
180,01/01/2021/06:00,11.9274,84.5,0.07725,0.048,0.134,55975.387856414
181,01/01/2021/06:10,11.7832,84.1,0.07725,0.07,0.145,55600.25096581198
182,01/01/2021/06:20,11.742,84.4,0.07931,0.07,0.122,55379.61544943601
186,01/01/2021/07:00,11.5051,85.8,0.08034,0.073,0.163,52588.740408587015
194,01/01/2021/08:20,11.288800000000002,83.4,0.08549,2.95,2.867,54805.06113392199
195,01/01/2021/08:30,11.031300000000002,83.9,0.08343,6.657,6.472,56106.25185303102
196,01/01/2021/08:40,10.8356,85.1,0.08343,13.02,11.56,55311.78894796701
198,01/01/2021/09:00,10.7532,85.9,0.0824,64.11,24.49,60932.425711011805
199,01/01/2021/09:10,11.0107,86.7,0.08137,92.3,27.88,60321.94243098319
200,01/01/2021/09:20,11.3506,86.7,0.08446,117.2,30.43,60701.855612175095
204,01/01/2021/10:00,14.0904,81.7,0.0824,218.3,39.07,65708.09379470296
210,01/01/2021/11:00,17.0465,64.11,0.07931,360.7,41.43,71445.3989660681
