,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Energy city
0,12/31/2020/00:00,8.81577,73.8,0.08549,0.051,0.119,62448.59480350411
1,12/31/2020/00:10,8.66642,74.5,0.08549,0.07,0.085,63977.314737193614
4,12/31/2020/00:40,8.15863,75.7,0.08343,0.048,0.085,62830.50341394151
6,12/31/2020/01:00,7.87023,77.7,0.0824,0.048,0.096,56608.352928415174
7,12/31/2020/01:10,7.720880000000001,78.2,0.08755,0.055,0.093,58928.6191489184
11,12/31/2020/01:50,7.695130000000001,76.7,0.08549,0.059,0.126,59113.892060927785
13,12/31/2020/02:10,7.17704,78.8,0.08652,0.07,0.134,53044.169151635055
23,12/31/2020/03:50,7.00915,76.2,0.08343,0.059,0.134,51021.07051198187
30,12/31/2020/05:00,7.1420200000000005,72.9,0.08446,0.055,0.134,50530.605967204676
31,12/31/2020/05:10,6.9195400000000005,75.8,0.0824,0.051,0.152,53124.72893639749
33,12/31/2020/05:30,6.857740000000001,73.5,0.0824,0.044,0.104,50647.39506014941
34,12/31/2020/05:40,6.57346,76.9,0.08343,0.073,0.148,52902.49761769419
38,12/31/2020/06:20,6.97207,75.6,0.08446,0.099,0.063,48704.15261706693
40,12/31/2020/06:40,6.60024,76.7,0.08446,0.037,0.119,51015.043628286745
43,12/31/2020/07:10,6.70839,74.6,0.08652,0.055,0.134,42876.64504131049
49,12/31/2020/08:10,7.01121,73.1,0.08446,0.955,0.949,43207.20810600185
52,12/31/2020/08:40,6.53638,74.8,0.08446,12.64,10.13,44154.51115533936
61,12/31/2020/10:10,8.07108,71.3,2.7398,257.9,31.01,56302.322211755236
62,12/31/2020/10:20,8.23588,69.85,5.0779,282.7,31.96,57938.53862931432
65,12/31/2020/10:50,9.26279,66.14,5.06554,349.6,33.41,61676.77326864524
70,12/31/2020/11:40,13.4518,53.52,0.08446,430.9,37.58,62114.526324478655
71,12/31/2020/11:50,14.832,53.26,0.0824,437.5,43.46,62616.794178574564
75,12/31/2020/12:30,18.076500000000003,58.7,0.07725,486.1,39.46,68348.7540802324
80,12/31/2020/13:20,18.2619,59.33,0.07828,498.8,44.65,68259.87346352967
83,12/31/2020/13:50,18.2825,52.45,0.07931,482.4,38.65,67505.03349701501
86,12/31/2020/14:20,18.2516,55.86,0.07931,456.1,39.95,66910.79291258323
90,12/31/2020/15:00,18.1692,57.26,0.07931,409.0,44.9,65040.06538719913
95,12/31/2020/15:50,17.8602,58.7,0.07725,149.5,67.85,66708.96691575427
96,12/31/2020/16:00,17.849899999999998,59.23,0.07931,209.1,128.9,67048.81755754213
98,12/31/2020/16:20,18.0662,58.3,0.07828,241.3,246.0,64051.9269909418
103,12/31/2020/17:10,17.870500000000003,59.3,0.07931,132.0,163.0,72184.49370407053
107,12/31/2020/17:50,17.2113,61.87,0.0885799999999999,26.51,28.08,84089.986799504
108,12/31/2020/18:00,16.9744,63.27,0.0824,18.0,18.29,84909.75888462836
109,12/31/2020/18:10,16.7787,63.94,0.08034,6.994,7.02,86022.20151708645
110,12/31/2020/18:20,16.5727,64.87,0.08034,2.818,2.763,88125.61548996753
114,12/31/2020/19:00,14.9453,68.35,0.07931,0.055,0.085,89973.00659603592
116,12/31/2020/19:20,14.1625,70.7,0.08137,0.055,0.126,89048.5665511799
118,12/31/2020/19:40,13.905,70.6,0.08034,0.059,0.074,93578.51230020328
120,12/31/2020/20:00,13.8226,71.2,0.07828,0.073,0.085,94536.69894780287
128,12/31/2020/21:20,13.8947,73.1,0.07931,0.044,0.085,92585.08519704823
130,12/31/2020/21:40,14.2552,68.78,0.07622,0.066,0.093,89604.84982137497
134,12/31/2020/22:20,15.6354,63.97,0.07725,0.081,0.093,85958.83009541193
144,01/01/2021/00:00,13.4003,75.8,0.07828,0.033,0.163,64112.846462875306
147,01/01/2021/00:30,12.6793,79.2,0.07828,0.091,0.134,61912.70725674188
150,01/01/2021/01:00,13.3282,78.1,0.07622,0.084,0.108,58333.07258332652
152,01/01/2021/01:20,13.4106,77.5,0.08343,0.062,0.178,57299.951882577065
157,01/01/2021/02:10,13.5651,77.3,0.07931,0.066,0.13,51341.89977601468
158,01/01/2021/02:20,13.493,75.6,0.07931,0.077,0.156,51487.571680845205
165,01/01/2021/03:30,13.0604,79.4,0.08137,0.059,0.156,49363.607493766875
167,01/01/2021/03:50,12.7102,80.6,0.08034,0.088,0.119,50457.132965254845
171,01/01/2021/04:30,12.7617,81.5,0.07622,0.088,0.119,50615.75891080438
173,01/01/2021/04:50,12.3291,82.8,0.07931,0.066,0.178,49000.64600824291
176,01/01/2021/05:20,12.0922,82.8,0.08343,0.106,0.126,51193.1859840677
180,01/01/2021/06:00,11.9274,84.5,0.07725,0.048,0.134,53230.153047225016
181,01/01/2021/06:10,11.7832,84.1,0.07725,0.07,0.145,56147.50864823388
182,01/01/2021/06:20,11.742,84.4,0.07931,0.07,0.122,57969.84611158551
186,01/01/2021/07:00,11.5051,85.8,0.08034,0.073,0.163,52593.053442203374
