,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Energy city
0,12/31/2020/00:00,8.81577,73.8,0.08549,0.051,0.119,62833.87065253243
1,12/31/2020/00:10,8.66642,74.5,0.08549,0.07,0.085,62737.6756744956
4,12/31/2020/00:40,8.15863,75.7,0.08343,0.048,0.085,63082.26321627888
6,12/31/2020/01:00,7.87023,77.7,0.0824,0.048,0.096,57681.830657237646
7,12/31/2020/01:10,7.720880000000001,78.2,0.08755,0.055,0.093,57774.339669137444
11,12/31/2020/01:50,7.695130000000001,76.7,0.08549,0.059,0.126,58138.34875568985
13,12/31/2020/02:10,7.17704,78.8,0.08652,0.07,0.134,52213.91229280236
23,12/31/2020/03:50,7.00915,76.2,0.08343,0.059,0.134,49753.03188939984
30,12/31/2020/05:00,7.1420200000000005,72.9,0.08446,0.055,0.134,50069.281548054256
31,12/31/2020/05:10,6.9195400000000005,75.8,0.0824,0.051,0.152,50662.96750293486
33,12/31/2020/05:30,6.857740000000001,73.5,0.0824,0.044,0.104,50567.211423282104
34,12/31/2020/05:40,6.57346,76.9,0.08343,0.073,0.148,50800.53076392901
38,12/31/2020/06:20,6.97207,75.6,0.08446,0.099,0.063,49866.81891675455
40,12/31/2020/06:40,6.60024,76.7,0.08446,0.037,0.119,51140.94381371876
43,12/31/2020/07:10,6.70839,74.6,0.08652,0.055,0.134,41173.22902605897
49,12/31/2020/08:10,7.01121,73.1,0.08446,0.955,0.949,41780.448374210486
52,12/31/2020/08:40,6.53638,74.8,0.08446,12.64,10.13,45428.25010610371
61,12/31/2020/10:10,8.07108,71.3,2.7398,257.9,31.01,56654.959833118686
62,12/31/2020/10:20,8.23588,69.85,5.0779,282.7,31.96,56917.50009369692
65,12/31/2020/10:50,9.26279,66.14,5.06554,349.6,33.41,60008.197259546425
70,12/31/2020/11:40,13.4518,53.52,0.08446,430.9,37.58,63368.926704798636
71,12/31/2020/11:50,14.832,53.26,0.0824,437.5,43.46,63170.12835361627
