,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Energy city
0,12/31/2020/00:00,8.81577,73.8,0.08549,0.051,0.119,63860.54403967568
1,12/31/2020/00:10,8.66642,74.5,0.08549,0.07,0.085,63195.78028346395
4,12/31/2020/00:40,8.15863,75.7,0.08343,0.048,0.085,62832.57800418034
6,12/31/2020/01:00,7.87023,77.7,0.0824,0.048,0.096,57267.15951096254
7,12/31/2020/01:10,7.720880000000001,78.2,0.08755,0.055,0.093,57503.832429400485
11,12/31/2020/01:50,7.695130000000001,76.7,0.08549,0.059,0.126,57313.586211568836
13,12/31/2020/02:10,7.17704,78.8,0.08652,0.07,0.134,53566.83660917311
23,12/31/2020/03:50,7.00915,76.2,0.08343,0.059,0.134,49947.200626002894
30,12/31/2020/05:00,7.1420200000000005,72.9,0.08446,0.055,0.134,50200.660784686035
31,12/31/2020/05:10,6.9195400000000005,75.8,0.0824,0.051,0.152,50646.697399391844
33,12/31/2020/05:30,6.857740000000001,73.5,0.0824,0.044,0.104,50333.634838777696
34,12/31/2020/05:40,6.57346,76.9,0.08343,0.073,0.148,50809.193126190294
38,12/31/2020/06:20,6.97207,75.6,0.08446,0.099,0.063,49308.55492901457
40,12/31/2020/06:40,6.60024,76.7,0.08446,0.037,0.119,51170.75499862972
43,12/31/2020/07:10,6.70839,74.6,0.08652,0.055,0.134,41660.63091781137
49,12/31/2020/08:10,7.01121,73.1,0.08446,0.955,0.949,41567.723769418924
52,12/31/2020/08:40,6.53638,74.8,0.08446,12.64,10.13,44461.59164064201
61,12/31/2020/10:10,8.07108,71.3,2.7398,257.9,31.01,56976.05474775168
62,12/31/2020/10:20,8.23588,69.85,5.0779,282.7,31.96,57231.241719715006
65,12/31/2020/10:50,9.26279,66.14,5.06554,349.6,33.41,60367.46762636342
70,12/31/2020/11:40,13.4518,53.52,0.08446,430.9,37.58,65408.38934981882
71,12/31/2020/11:50,14.832,53.26,0.0824,437.5,43.46,65429.799424202116
75,12/31/2020/12:30,18.076500000000003,58.7,0.07725,486.1,39.46,67433.74937621705
80,12/31/2020/13:20,18.2619,59.33,0.07828,498.8,44.65,67728.63632787623
83,12/31/2020/13:50,18.2825,52.45,0.07931,482.4,38.65,66870.69457763947
86,12/31/2020/14:20,18.2516,55.86,0.07931,456.1,39.95,66499.42937825261
90,12/31/2020/15:00,18.1692,57.26,0.07931,409.0,44.9,65590.70859236135
95,12/31/2020/15:50,17.8602,58.7,0.07725,149.5,67.85,65162.01706962686
96,12/31/2020/16:00,17.849899999999998,59.23,0.07931,209.1,128.9,64929.84304794468
98,12/31/2020/16:20,18.0662,58.3,0.07828,241.3,246.0,64654.71648342114
103,12/31/2020/17:10,17.870500000000003,59.3,0.07931,132.0,163.0,75079.17933881155
107,12/31/2020/17:50,17.2113,61.87,0.0885799999999999,26.51,28.08,83072.92966033985
108,12/31/2020/18:00,16.9744,63.27,0.0824,18.0,18.29,91894.4520778198
109,12/31/2020/18:10,16.7787,63.94,0.08034,6.994,7.02,92352.53818899764
110,12/31/2020/18:20,16.5727,64.87,0.08034,2.818,2.763,92380.15473744644
114,12/31/2020/19:00,14.9453,68.35,0.07931,0.055,0.085,93844.56249874808
116,12/31/2020/19:20,14.1625,70.7,0.08137,0.055,0.126,94075.80256982967
118,12/31/2020/19:40,13.905,70.6,0.08034,0.059,0.074,94275.49163833087
120,12/31/2020/20:00,13.8226,71.2,0.07828,0.073,0.085,94697.94056891491
128,12/31/2020/21:20,13.8947,73.1,0.07931,0.044,0.085,90858.26155704977
130,12/31/2020/21:40,14.2552,68.78,0.07622,0.066,0.093,89870.76946849798
134,12/31/2020/22:20,15.6354,63.97,0.07725,0.081,0.093,80970.94208909129
144,01/01/2021/00:00,13.4003,75.8,0.07828,0.033,0.163,60548.60209486603
147,01/01/2021/00:30,12.6793,79.2,0.07828,0.091,0.134,61427.87421879792
150,01/01/2021/01:00,13.3282,78.1,0.07622,0.084,0.108,54566.87346238594
152,01/01/2021/01:20,13.4106,77.5,0.08343,0.062,0.178,54400.62514889791
157,01/01/2021/02:10,13.5651,77.3,0.07931,0.066,0.13,50456.54948379181
158,01/01/2021/02:20,13.493,75.6,0.07931,0.077,0.156,50142.485980513804
165,01/01/2021/03:30,13.0604,79.4,0.08137,0.059,0.156,49121.24039821396
167,01/01/2021/03:50,12.7102,80.6,0.08034,0.088,0.119,48856.0375199771
171,01/01/2021/04:30,12.7617,81.5,0.07622,0.088,0.119,48614.860967331275
173,01/01/2021/04:50,12.3291,82.8,0.07931,0.066,0.178,48470.35918664249
176,01/01/2021/05:20,12.0922,82.8,0.08343,0.106,0.126,49813.961630896934
180,01/01/2021/06:00,11.9274,84.5,0.07725,0.048,0.134,55569.59052139947
181,01/01/2021/06:10,11.7832,84.1,0.07725,0.07,0.145,55501.93259799103
182,01/01/2021/06:20,11.742,84.4,0.07931,0.07,0.122,55419.99083901694
186,01/01/2021/07:00,11.5051,85.8,0.08034,0.073,0.163,52357.636174873885
194,01/01/2021/08:20,11.288800000000002,83.4,0.08549,2.95,2.867,54522.36334600919
195,01/01/2021/08:30,11.031300000000002,83.9,0.08343,6.657,6.472,55617.39861595281
196,01/01/2021/08:40,10.8356,85.1,0.08343,13.02,11.56,56113.5994768479
198,01/01/2021/09:00,10.7532,85.9,0.0824,64.11,24.49,59141.60517017802
199,01/01/2021/09:10,11.0107,86.7,0.08137,92.3,27.88,58837.80307429543
200,01/01/2021/09:20,11.3506,86.7,0.08446,117.2,30.43,59444.22272893496
204,01/01/2021/10:00,14.0904,81.7,0.0824,218.3,39.07,63487.26619333397
210,01/01/2021/11:00,17.0465,64.11,0.07931,360.7,41.43,69059.46821122653
212,01/01/2021/11:20,17.592399999999998,57.23,0.07828,396.6,40.66,68176.52668508653
214,01/01/2021/11:40,17.7984,56.49,0.07725,425.6,41.84,68471.51477302254
216,01/01/2021/12:00,17.726300000000002,55.69,0.07931,452.5,41.73,68928.0393716939
217,01/01/2021/12:10,17.6954,57.2,0.08034,460.5,42.38,69138.77719286531
219,01/01/2021/12:30,17.613000000000003,58.33,0.07828,476.2,43.25,69183.6508776532
225,01/01/2021/13:30,17.849899999999998,59.16,0.07828,484.1,43.72,70346.19300041074
226,01/01/2021/13:40,17.9323,58.13,0.07828,481.1,43.82,69592.16274499652
231,01/01/2021/14:30,18.076500000000003,55.99,0.07622,441.9,41.88,69062.92307995049
233,01/01/2021/14:50,18.1692,55.35,0.07931,413.9,41.5,68779.0149674246
237,01/01/2021/15:30,17.9735,57.86,0.07725,345.8,57.35,69060.22305603717
239,01/01/2021/15:50,17.901400000000002,58.02,0.07622,302.9,121.3,68951.49752201005
241,01/01/2021/16:10,17.7469,59.76,0.07931,260.6,238.0,69591.7594167928
242,01/01/2021/16:20,17.7469,61.12,0.07725,238.2,253.4,69813.06817946455
248,01/01/2021/17:20,17.5306,62.32,0.07828,98.7,123.7,75909.87916193114
250,01/01/2021/17:40,17.314300000000003,61.79,0.08034,58.1,75.3,90412.2962071125
251,01/01/2021/17:50,17.1804,62.05,0.08137,22.4,25.24,96344.84594197698
252,01/01/2021/18:00,17.0362,64.02,0.07622,11.04,11.2,97429.49200633902
261,01/01/2021/19:30,15.8929,69.86,0.07828,0.04,0.108,97185.67961669456
262,01/01/2021/19:40,15.8105,69.86,0.07828,0.073,0.078,97093.52751135925
263,01/01/2021/19:50,15.656,70.5,0.07828,0.055,0.122,97355.46751454586
266,01/01/2021/20:20,15.8826,68.52,0.07725,0.055,0.093,96859.5188552633
267,01/01/2021/20:30,15.759,69.03,0.07725,0.055,0.093,96910.76265048832
268,01/01/2021/20:40,15.7899,68.72,0.07828,0.066,0.108,96892.47493370938
273,01/01/2021/21:30,15.4809,66.62,0.07622,0.07,0.085,94565.36109654425
274,01/01/2021/21:40,15.3779,67.29,0.07828,0.07,0.111,94273.4760706765
277,01/01/2021/22:10,15.3161,67.96,0.07725,0.066,0.134,86324.64938519792
278,01/01/2021/22:20,15.3676,68.52,0.07622,0.037,0.148,86746.99500743067
279,01/01/2021/22:30,15.4088,68.62,0.07725,0.102,0.063,88481.22385319021
280,01/01/2021/22:40,15.3264,69.33,0.07725,0.062,0.152,86591.36225467187
283,01/01/2021/23:10,15.1925,70.4,0.07313,0.051,0.152,73808.80342213014
285,01/01/2021/23:30,14.6569,72.9,0.07931,0.059,0.111,73758.10023001692
289,01/02/2021/00:10,14.5848,74.0,0.0741599999999999,0.07,0.141,61770.155519547865
292,01/02/2021/00:40,13.8535,77.7,0.07622,0.073,0.115,61954.89606633678
295,01/02/2021/01:10,14.821700000000002,71.0,0.08034,0.062,0.148,54718.175335540196
297,01/02/2021/01:30,14.832,71.5,0.07725,0.062,0.156,55343.081984163226
304,01/02/2021/02:40,14.6878,75.5,0.07828,0.073,0.163,50914.17943944634
308,01/02/2021/03:20,14.626,73.8,0.0741599999999999,0.084,0.178,49712.6630782766
309,01/02/2021/03:30,14.4612,74.7,0.07931,0.077,0.134,49153.09114377203
311,01/02/2021/03:50,14.3376,75.2,0.07931,0.059,0.182,49491.61835519889
312,01/02/2021/04:00,14.2655,75.1,0.08549,0.077,0.156,49234.44825080887
313,01/02/2021/04:10,14.0698,75.5,0.08652,0.07,0.156,49345.34694403484
314,01/02/2021/04:20,13.956500000000002,76.1,0.07931,0.055,0.156,49329.532642902275
316,01/02/2021/04:40,13.5651,77.8,0.07828,0.077,0.148,49277.70145585768
317,01/02/2021/04:50,13.2149,78.5,0.07828,0.066,0.148,49420.5637245911
322,01/02/2021/05:40,13.616600000000002,80.0,0.07828,0.077,0.171,49848.93652441603
323,01/02/2021/05:50,13.7608,77.9,0.07931,0.062,0.174,49535.06415343826
324,01/02/2021/06:00,13.8432,77.5,0.08137,0.102,0.122,56076.11880324671
326,01/02/2021/06:20,13.7299,76.8,0.07725,0.062,0.145,55725.09041035875
330,01/02/2021/07:00,12.5145,80.8,0.0824,0.055,0.193,54322.5328045567
332,01/02/2021/07:20,12.257,81.5,0.07828,0.048,0.171,54054.8987338487
341,01/02/2021/08:50,10.7944,85.7,0.08446,38.0,20.54,55592.56547460761
342,01/02/2021/09:00,10.712000000000002,85.3,0.08446,64.8,27.42,59630.85087788185
343,01/02/2021/09:10,10.8253,85.5,0.08549,85.3,33.31,60418.331892746566
344,01/02/2021/09:20,11.124,85.0,0.08652,109.4,38.03,61920.40694000443
351,01/02/2021/10:30,16.1092,73.2,0.08137,294.9,43.18,68053.53749929157
353,01/02/2021/10:50,16.6448,72.3,0.08343,339.3,43.08,69117.4149463505
354,01/02/2021/11:00,17.0362,69.24,0.08652,361.2,43.97,72936.07484506168
369,01/02/2021/13:30,18.0971,62.7,0.07931,490.1,44.76,74420.40116484588
373,01/02/2021/14:10,18.0044,63.76,0.07725,465.8,44.23,73646.98249294853
374,01/02/2021/14:20,17.8808,64.16,0.0751899999999999,455.2,44.07,73444.76036858778
377,01/02/2021/14:50,17.8808,65.23,0.07725,415.4,43.03,72852.01853642408
381,01/02/2021/15:30,17.963199999999997,64.93,0.07622,348.4,72.7,72390.87169988736
383,01/02/2021/15:50,17.819000000000003,65.83,0.07725,306.7,155.7,72324.61877800516
385,01/02/2021/16:10,17.8602,66.83,0.07313,259.9,256.6,70923.07021701788
396,01/02/2021/18:00,16.8096,69.56,0.07725,11.76,11.93,98284.72777505017
398,01/02/2021/18:20,16.459400000000002,72.1,0.07828,3.327,3.349,98563.23818990082
399,01/02/2021/18:30,16.3358,73.0,0.07622,1.014,1.087,98512.49459085673
407,01/02/2021/19:50,13.3179,81.3,0.08137,0.059,0.074,98352.19213265125
408,01/02/2021/20:00,13.0707,81.5,0.07931,0.055,0.093,98335.51593161002
409,01/02/2021/20:10,12.7617,81.5,0.08034,0.088,0.089,98384.21850981291
410,01/02/2021/20:20,12.5351,83.1,0.07622,0.084,0.067,98218.06415061773
413,01/02/2021/20:50,12.0613,84.2,0.07725,0.062,0.096,98210.65487298995
416,01/02/2021/21:20,11.6699,83.7,0.07828,0.066,0.067,95733.93979987681
418,01/02/2021/21:40,11.474200000000002,84.0,0.0751899999999999,0.055,0.085,95844.61211416147
419,01/02/2021/21:50,11.4433,83.8,0.0751899999999999,0.081,0.078,95780.68830730945
423,01/02/2021/22:30,11.3094,83.6,0.0751899999999999,0.062,0.059,88129.9019933819
426,01/02/2021/23:00,10.8253,84.3,0.07725,0.062,0.104,75485.13175274867
428,01/02/2021/23:20,10.918,84.4,0.07622,0.048,0.104,75038.0044896404
429,01/02/2021/23:30,10.8047,84.5,0.07931,0.04,0.159,73326.01701020694
430,01/02/2021/23:40,10.6399,84.7,0.07828,0.059,0.059,75552.32717945949
431,01/02/2021/23:50,10.815,84.7,0.0751899999999999,0.077,0.059,75139.86068121204
436,01/03/2021/00:40,10.6708,82.0,0.08034,0.055,0.108,64312.314842720094
437,01/03/2021/00:50,10.4751,82.7,0.07725,0.062,0.111,64650.37258055895
438,01/03/2021/01:00,10.4339,82.4,0.07622,0.037,0.1,55324.77702697002
439,01/03/2021/01:10,10.4442,82.3,0.07622,0.073,0.093,55397.93190433343
441,01/03/2021/01:30,10.6399,82.2,0.07725,0.062,0.082,55550.39949840426
444,01/03/2021/02:00,10.4339,81.2,0.07725,0.059,0.119,52018.30707437439
447,01/03/2021/02:30,10.2073,81.8,0.08034,0.07,0.111,51671.999026441605
452,01/03/2021/03:20,10.1352,80.5,0.0751899999999999,0.059,0.134,50187.7623631248
454,01/03/2021/03:40,9.723200000000002,81.1,0.07828,0.062,0.126,50046.009605776955
457,01/03/2021/04:10,9.26073,82.5,0.0885799999999999,0.084,0.108,49702.85103441116
460,01/03/2021/04:40,8.333730000000001,84.9,0.08549,0.055,0.085,49552.26160982584
462,01/03/2021/05:00,8.24309,86.3,0.08755,0.062,0.1,50942.13910295796
464,01/03/2021/05:20,8.28326,86.7,0.08961,0.062,0.148,51114.19891884606
465,01/03/2021/05:30,8.21528,86.8,0.08755,0.077,0.119,51685.14183937853
468,01/03/2021/06:00,8.184379999999999,86.9,0.08652,0.07,0.122,55913.160366655786
469,01/03/2021/06:10,8.02885,86.9,0.0885799999999999,0.07,0.085,55747.629998002536
470,01/03/2021/06:20,7.71264,87.1,0.08961,0.029,0.134,56000.76376070257
471,01/03/2021/06:30,7.57256,87.1,0.08549,0.051,0.148,55529.78624094489
474,01/03/2021/07:00,7.58492,87.7,0.08961,0.051,0.122,52583.57189194749
475,01/03/2021/07:10,7.61479,87.8,0.08961,0.048,0.111,52515.75293924545
476,01/03/2021/07:20,7.74972,87.7,0.09064,0.051,0.145,52921.26363426249
479,01/03/2021/07:50,7.556080000000001,86.7,0.09167,0.11,0.119,52830.96791987888
480,01/03/2021/08:00,7.35317,86.9,0.08755,0.146,0.226,53372.52897385006
482,01/03/2021/08:20,7.31197,87.4,0.08652,2.906,2.804,54248.847960922605
484,01/03/2021/08:40,6.98237,87.7,0.0885799999999999,13.9,12.28,55856.357420106346
491,01/03/2021/09:50,7.970140000000001,84.7,0.09167,196.1,37.53,64286.40612014237
494,01/03/2021/10:20,8.85079,81.6,0.0927,272.8,39.92,67881.29030520626
498,01/03/2021/11:00,10.3103,79.8,0.09064,354.4,40.51,73604.96842847744
499,01/03/2021/11:10,10.8871,79.0,0.09064,384.7,40.3,73553.20096765351
501,01/03/2021/11:30,11.948,77.3,0.0927,420.1,39.15,73754.03840204493
505,01/03/2021/12:10,14.42,67.75,0.0885799999999999,477.0,37.37,74534.9913365435
508,01/03/2021/12:40,16.1298,65.01,0.08961,499.7,37.17,74857.40580052894
