,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Energy city
0,12/31/2020/00:00,8.81577,73.8,0.08549,0.051,0.119,62641.232728018265
1,12/31/2020/00:10,8.66642,74.5,0.08549,0.07,0.085,63357.49520584461
4,12/31/2020/00:40,8.15863,75.7,0.08343,0.048,0.085,62956.38331511019
6,12/31/2020/01:00,7.87023,77.7,0.0824,0.048,0.096,57145.09179282641
7,12/31/2020/01:10,7.720880000000001,78.2,0.08755,0.055,0.093,58351.47940902792
11,12/31/2020/01:50,7.695130000000001,76.7,0.08549,0.059,0.126,58626.120408308816
13,12/31/2020/02:10,7.17704,78.8,0.08652,0.07,0.134,52629.040722218706
23,12/31/2020/03:50,7.00915,76.2,0.08343,0.059,0.134,50387.051200690854
30,12/31/2020/05:00,7.1420200000000005,72.9,0.08446,0.055,0.134,50299.94375762947
31,12/31/2020/05:10,6.9195400000000005,75.8,0.0824,0.051,0.152,51893.84821966618
33,12/31/2020/05:30,6.857740000000001,73.5,0.0824,0.044,0.104,50607.30324171575
34,12/31/2020/05:40,6.57346,76.9,0.08343,0.073,0.148,51851.514190811606
38,12/31/2020/06:20,6.97207,75.6,0.08446,0.099,0.063,49285.485766910744
40,12/31/2020/06:40,6.60024,76.7,0.08446,0.037,0.119,51077.99372100276
43,12/31/2020/07:10,6.70839,74.6,0.08652,0.055,0.134,42024.937033684735
49,12/31/2020/08:10,7.01121,73.1,0.08446,0.955,0.949,42493.82824010617
52,12/31/2020/08:40,6.53638,74.8,0.08446,12.64,10.13,44791.380630721535
61,12/31/2020/10:10,8.07108,71.3,2.7398,257.9,31.01,56478.64102243696
62,12/31/2020/10:20,8.23588,69.85,5.0779,282.7,31.96,57428.01936150562
65,12/31/2020/10:50,9.26279,66.14,5.06554,349.6,33.41,60842.48526409583
70,12/31/2020/11:40,13.4518,53.52,0.08446,430.9,37.58,62741.72651463865
71,12/31/2020/11:50,14.832,53.26,0.0824,437.5,43.46,62893.461266095415
75,12/31/2020/12:30,18.076500000000003,58.7,0.07725,486.1,39.46,67861.23755860337
80,12/31/2020/13:20,18.2619,59.33,0.07828,498.8,44.65,68058.14597846629
83,12/31/2020/13:50,18.2825,52.45,0.07931,482.4,38.65,67281.59977706902
86,12/31/2020/14:20,18.2516,55.86,0.07931,456.1,39.95,66693.78284166932
90,12/31/2020/15:00,18.1692,57.26,0.07931,409.0,44.9,65585.84911781485
95,12/31/2020/15:50,17.8602,58.7,0.07725,149.5,67.85,65856.32059935783
96,12/31/2020/16:00,17.849899999999998,59.23,0.07931,209.1,128.9,65930.63320536789
98,12/31/2020/16:20,18.0662,58.3,0.07828,241.3,246.0,64234.01059003998
103,12/31/2020/17:10,17.870500000000003,59.3,0.07931,132.0,163.0,72427.19793943211
107,12/31/2020/17:50,17.2113,61.87,0.0885799999999999,26.51,28.08,83196.37572093446
108,12/31/2020/18:00,16.9744,63.27,0.0824,18.0,18.29,86736.98484861176
109,12/31/2020/18:10,16.7787,63.94,0.08034,6.994,7.02,88145.123371402
110,12/31/2020/18:20,16.5727,64.87,0.08034,2.818,2.763,88877.69540988357
114,12/31/2020/19:00,14.9453,68.35,0.07931,0.055,0.085,91371.19298595833
116,12/31/2020/19:20,14.1625,70.7,0.08137,0.055,0.126,91057.45159518998
118,12/31/2020/19:40,13.905,70.6,0.08034,0.059,0.074,93412.39867117144
120,12/31/2020/20:00,13.8226,71.2,0.07828,0.073,0.085,93802.5611938427
128,12/31/2020/21:20,13.8947,73.1,0.07931,0.044,0.085,90238.09418691616
130,12/31/2020/21:40,14.2552,68.78,0.07622,0.066,0.093,88977.46407664029
134,12/31/2020/22:20,15.6354,63.97,0.07725,0.081,0.093,85243.3910905673
144,01/01/2021/00:00,13.4003,75.8,0.07828,0.033,0.163,63340.75049008224
147,01/01/2021/00:30,12.6793,79.2,0.07828,0.091,0.134,61860.77253123972
150,01/01/2021/01:00,13.3282,78.1,0.07622,0.084,0.108,56906.482858382675
152,01/01/2021/01:20,13.4106,77.5,0.08343,0.062,0.178,56269.290407564375
157,01/01/2021/02:10,13.5651,77.3,0.07931,0.066,0.13,51514.317444464294
158,01/01/2021/02:20,13.493,75.6,0.07931,0.077,0.156,50917.7596769918
165,01/01/2021/03:30,13.0604,79.4,0.08137,0.059,0.156,49380.541339587005
167,01/01/2021/03:50,12.7102,80.6,0.08034,0.088,0.119,49610.98999142081
171,01/01/2021/04:30,12.7617,81.5,0.07622,0.088,0.119,49570.06205639238
173,01/01/2021/04:50,12.3291,82.8,0.07931,0.066,0.178,48807.93996850423
176,01/01/2021/05:20,12.0922,82.8,0.08343,0.106,0.126,51043.77753919547
180,01/01/2021/06:00,11.9274,84.5,0.07725,0.048,0.134,54384.197125084116
181,01/01/2021/06:10,11.7832,84.1,0.07725,0.07,0.145,55905.95833439799
182,01/01/2021/06:20,11.742,84.4,0.07931,0.07,0.122,56802.611797803154
186,01/01/2021/07:00,11.5051,85.8,0.08034,0.073,0.163,52584.24473202866
194,01/01/2021/08:20,11.288800000000002,83.4,0.08549,2.95,2.867,54133.21261252639
195,01/01/2021/08:30,11.031300000000002,83.9,0.08343,6.657,6.472,55660.72297939443
196,01/01/2021/08:40,10.8356,85.1,0.08343,13.02,11.56,55932.99722320709
198,01/01/2021/09:00,10.7532,85.9,0.0824,64.11,24.49,60111.015767142926
199,01/01/2021/09:10,11.0107,86.7,0.08137,92.3,27.88,60977.08435368801
200,01/01/2021/09:20,11.3506,86.7,0.08446,117.2,30.43,60005.946890434905
204,01/01/2021/10:00,14.0904,81.7,0.0824,218.3,39.07,64895.94918678906
210,01/01/2021/11:00,17.0465,64.11,0.07931,360.7,41.43,70670.794718333
212,01/01/2021/11:20,17.592399999999998,57.23,0.07828,396.6,40.66,67705.49686343917
214,01/01/2021/11:40,17.7984,56.49,0.07725,425.6,41.84,67663.77604169643
216,01/01/2021/12:00,17.726300000000002,55.69,0.07931,452.5,41.73,69125.6985682495
217,01/01/2021/12:10,17.6954,57.2,0.08034,460.5,42.38,69261.80210733929
219,01/01/2021/12:30,17.613000000000003,58.33,0.07828,476.2,43.25,68955.93039726226
225,01/01/2021/13:30,17.849899999999998,59.16,0.07828,484.1,43.72,69528.15044261716
226,01/01/2021/13:40,17.9323,58.13,0.07828,481.1,43.82,69164.48492772639
231,01/01/2021/14:30,18.076500000000003,55.99,0.07622,441.9,41.88,69569.55795169412
233,01/01/2021/14:50,18.1692,55.35,0.07931,413.9,41.5,69831.45198849747
237,01/01/2021/15:30,17.9735,57.86,0.07725,345.8,57.35,70148.79013769323
239,01/01/2021/15:50,17.901400000000002,58.02,0.07622,302.9,121.3,71109.81941420073
241,01/01/2021/16:10,17.7469,59.76,0.07931,260.6,238.0,70607.63627177157
242,01/01/2021/16:20,17.7469,61.12,0.07725,238.2,253.4,69691.39678862145
248,01/01/2021/17:20,17.5306,62.32,0.07828,98.7,123.7,77993.84217240082
250,01/01/2021/17:40,17.314300000000003,61.79,0.08034,58.1,75.3,83509.28948142787
251,01/01/2021/17:50,17.1804,62.05,0.08137,22.4,25.24,92096.94896011389
252,01/01/2021/18:00,17.0362,64.02,0.07622,11.04,11.2,98495.6552592279
261,01/01/2021/19:30,15.8929,69.86,0.07828,0.04,0.108,97531.6198034299
262,01/01/2021/19:40,15.8105,69.86,0.07828,0.073,0.078,95568.2427606442
263,01/01/2021/19:50,15.656,70.5,0.07828,0.055,0.122,98665.34962572796
266,01/01/2021/20:20,15.8826,68.52,0.07725,0.055,0.093,97970.59734195677
267,01/01/2021/20:30,15.759,69.03,0.07725,0.055,0.093,97421.02804137664
268,01/01/2021/20:40,15.7899,68.72,0.07828,0.066,0.108,98129.5524201509
273,01/01/2021/21:30,15.4809,66.62,0.07622,0.07,0.085,93767.73413981592
274,01/01/2021/21:40,15.3779,67.29,0.07828,0.07,0.111,93892.2569548969
277,01/01/2021/22:10,15.3161,67.96,0.07725,0.066,0.134,86944.23867784641
278,01/01/2021/22:20,15.3676,68.52,0.07622,0.037,0.148,88774.23775126538
279,01/01/2021/22:30,15.4088,68.62,0.07725,0.102,0.063,87909.42497068414
280,01/01/2021/22:40,15.3264,69.33,0.07725,0.062,0.152,87154.76899290894
283,01/01/2021/23:10,15.1925,70.4,0.07313,0.051,0.152,77356.11487687698
285,01/01/2021/23:30,14.6569,72.9,0.07931,0.059,0.111,74570.62673178603
289,01/02/2021/00:10,14.5848,74.0,0.0741599999999999,0.07,0.141,60847.68071461002
292,01/02/2021/00:40,13.8535,77.7,0.07622,0.073,0.115,61671.730976847524
295,01/02/2021/01:10,14.821700000000002,71.0,0.08034,0.062,0.148,55456.45000295059
297,01/02/2021/01:30,14.832,71.5,0.07725,0.062,0.156,55663.338802039056
304,01/02/2021/02:40,14.6878,75.5,0.07828,0.073,0.163,51499.91923403329
308,01/02/2021/03:20,14.626,73.8,0.0741599999999999,0.084,0.178,49208.474996136065
309,01/02/2021/03:30,14.4612,74.7,0.07931,0.077,0.134,49142.75695003678
311,01/02/2021/03:50,14.3376,75.2,0.07931,0.059,0.182,49934.341083796244
312,01/02/2021/04:00,14.2655,75.1,0.08549,0.077,0.156,50378.50251451539
313,01/02/2021/04:10,14.0698,75.5,0.08652,0.07,0.156,49362.68967152919
314,01/02/2021/04:20,13.956500000000002,76.1,0.07931,0.055,0.156,50140.84238872116
316,01/02/2021/04:40,13.5651,77.8,0.07828,0.077,0.148,50658.74385234744
317,01/02/2021/04:50,13.2149,78.5,0.07828,0.066,0.148,50291.47048185511
322,01/02/2021/05:40,13.616600000000002,80.0,0.07828,0.077,0.171,50249.1666044193
323,01/02/2021/05:50,13.7608,77.9,0.07931,0.062,0.174,50357.039259883
324,01/02/2021/06:00,13.8432,77.5,0.08137,0.102,0.122,55809.449261175294
326,01/02/2021/06:20,13.7299,76.8,0.07725,0.062,0.145,55193.60492154692
330,01/02/2021/07:00,12.5145,80.8,0.0824,0.055,0.193,54710.22406379657
332,01/02/2021/07:20,12.257,81.5,0.07828,0.048,0.171,54538.8155979874
341,01/02/2021/08:50,10.7944,85.7,0.08446,38.0,20.54,56006.37129162553
342,01/02/2021/09:00,10.712000000000002,85.3,0.08446,64.8,27.42,60663.93055714512
343,01/02/2021/09:10,10.8253,85.5,0.08549,85.3,33.31,59660.42329852717
344,01/02/2021/09:20,11.124,85.0,0.08652,109.4,38.03,61141.91619861593
351,01/02/2021/10:30,16.1092,73.2,0.08137,294.9,43.18,67485.11408509937
353,01/02/2021/10:50,16.6448,72.3,0.08343,339.3,43.08,69051.91203634397
354,01/02/2021/11:00,17.0362,69.24,0.08652,361.2,43.97,72239.78601960071
369,01/02/2021/13:30,18.0971,62.7,0.07931,490.1,44.76,73468.17566963323
373,01/02/2021/14:10,18.0044,63.76,0.07725,465.8,44.23,72813.74986472796
374,01/02/2021/14:20,17.8808,64.16,0.0751899999999999,455.2,44.07,73279.50474688715
377,01/02/2021/14:50,17.8808,65.23,0.07725,415.4,43.03,72383.49175524636
381,01/02/2021/15:30,17.963199999999997,64.93,0.07622,348.4,72.7,72857.86426825532
383,01/02/2021/15:50,17.819000000000003,65.83,0.07725,306.7,155.7,72510.08919160848
385,01/02/2021/16:10,17.8602,66.83,0.07313,259.9,256.6,72120.84883509006
396,01/02/2021/18:00,16.8096,69.56,0.07725,11.76,11.93,98678.22993358943
398,01/02/2021/18:20,16.459400000000002,72.1,0.07828,3.327,3.349,99550.5708680524
399,01/02/2021/18:30,16.3358,73.0,0.07622,1.014,1.087,99723.9159165987
407,01/02/2021/19:50,13.3179,81.3,0.08137,0.059,0.074,98540.98975641099
408,01/02/2021/20:00,13.0707,81.5,0.07931,0.055,0.093,99686.37886937904
409,01/02/2021/20:10,12.7617,81.5,0.08034,0.088,0.089,98831.05107468253
410,01/02/2021/20:20,12.5351,83.1,0.07622,0.084,0.067,99009.00745977502
413,01/02/2021/20:50,12.0613,84.2,0.07725,0.062,0.096,98766.43601144003
416,01/02/2021/21:20,11.6699,83.7,0.07828,0.066,0.067,96074.02756667887
418,01/02/2021/21:40,11.474200000000002,84.0,0.0751899999999999,0.055,0.085,95842.02324588882
419,01/02/2021/21:50,11.4433,83.8,0.0751899999999999,0.081,0.078,94933.32458158527
423,01/02/2021/22:30,11.3094,83.6,0.0751899999999999,0.062,0.059,89354.6023415649
426,01/02/2021/23:00,10.8253,84.3,0.07725,0.062,0.104,75403.0528228367
428,01/02/2021/23:20,10.918,84.4,0.07622,0.048,0.104,77831.30383463213
429,01/02/2021/23:30,10.8047,84.5,0.07931,0.04,0.159,75024.96720147434
430,01/02/2021/23:40,10.6399,84.7,0.07828,0.059,0.059,77687.3973532324
431,01/02/2021/23:50,10.815,84.7,0.0751899999999999,0.077,0.059,77107.94517751387
436,01/03/2021/00:40,10.6708,82.0,0.08034,0.055,0.108,62447.7025918769
437,01/03/2021/00:50,10.4751,82.7,0.07725,0.062,0.111,63104.80105664089
438,01/03/2021/01:00,10.4339,82.4,0.07622,0.037,0.1,55709.222049690885
439,01/03/2021/01:10,10.4442,82.3,0.07622,0.073,0.093,55334.60902781364
441,01/03/2021/01:30,10.6399,82.2,0.07725,0.062,0.082,54382.17502004924
444,01/03/2021/02:00,10.4339,81.2,0.07725,0.059,0.119,52103.17878251422
447,01/03/2021/02:30,10.2073,81.8,0.08034,0.07,0.111,51866.59127042722
452,01/03/2021/03:20,10.1352,80.5,0.0751899999999999,0.059,0.134,49943.18311581225
454,01/03/2021/03:40,9.723200000000002,81.1,0.07828,0.062,0.126,50076.41190490813
457,01/03/2021/04:10,9.26073,82.5,0.0885799999999999,0.084,0.108,50447.35667915379
460,01/03/2021/04:40,8.333730000000001,84.9,0.08549,0.055,0.085,49531.78073160372
462,01/03/2021/05:00,8.24309,86.3,0.08755,0.062,0.1,51711.23345464528
464,01/03/2021/05:20,8.28326,86.7,0.08961,0.062,0.148,52213.31105739735
465,01/03/2021/05:30,8.21528,86.8,0.08755,0.077,0.119,52788.647860707286
468,01/03/2021/06:00,8.184379999999999,86.9,0.08652,0.07,0.122,54784.14200543636
469,01/03/2021/06:10,8.02885,86.9,0.0885799999999999,0.07,0.085,53763.926428281775
470,01/03/2021/06:20,7.71264,87.1,0.08961,0.029,0.134,55738.53225925368
471,01/03/2021/06:30,7.57256,87.1,0.08549,0.051,0.148,55892.16759929218
474,01/03/2021/07:00,7.58492,87.7,0.08961,0.051,0.122,51889.513397639035
475,01/03/2021/07:10,7.61479,87.8,0.08961,0.048,0.111,52390.792350607284
476,01/03/2021/07:20,7.74972,87.7,0.09064,0.051,0.145,52486.84047296357
479,01/03/2021/07:50,7.556080000000001,86.7,0.09167,0.11,0.119,52484.06756612488
480,01/03/2021/08:00,7.35317,86.9,0.08755,0.146,0.226,52895.44202924446
482,01/03/2021/08:20,7.31197,87.4,0.08652,2.906,2.804,54758.28463804805
484,01/03/2021/08:40,6.98237,87.7,0.0885799999999999,13.9,12.28,55470.1299406817
491,01/03/2021/09:50,7.970140000000001,84.7,0.09167,196.1,37.53,64469.094071007814
494,01/03/2021/10:20,8.85079,81.6,0.0927,272.8,39.92,67474.18208434284
498,01/03/2021/11:00,10.3103,79.8,0.09064,354.4,40.51,71697.94061928385
499,01/03/2021/11:10,10.8871,79.0,0.09064,384.7,40.3,70778.737946506
501,01/03/2021/11:30,11.948,77.3,0.0927,420.1,39.15,72098.92445103632
505,01/03/2021/12:10,14.42,67.75,0.0885799999999999,477.0,37.37,75222.02448415212
508,01/03/2021/12:40,16.1298,65.01,0.08961,499.7,37.17,75218.44219173954
509,01/03/2021/12:50,16.3976,63.81,0.0885799999999999,503.9,37.24,74867.5639454831
512,01/03/2021/13:20,17.8602,60.2,0.08755,506.6,37.02,73359.49493391027
516,01/03/2021/14:00,20.2395,53.72,0.08652,485.9,38.87,72101.22911047946
517,01/03/2021/14:10,20.1365,50.78,0.08446,468.6,43.49,73248.93272736746
521,01/03/2021/14:50,20.0747,56.59,0.07931,418.2,45.45,72819.37869561382
523,01/03/2021/15:10,19.8069,59.17,0.07725,391.1,50.26,71905.06841011472
532,01/03/2021/16:40,20.188,60.67,0.08343,189.1,227.1,71192.15202071956
536,01/03/2021/17:20,19.4567,63.5,0.07725,88.0,109.5,79998.4486541465
538,01/03/2021/17:40,18.3752,67.87,0.07622,52.73,67.32,92251.85804589881
542,01/03/2021/18:20,16.613900000000005,73.2,0.08343,3.532,3.546,98874.76199765198
543,01/03/2021/18:30,15.6766,75.6,0.08549,1.142,1.22,98721.40267418638
550,01/03/2021/19:40,16.3049,71.8,0.09064,0.051,0.093,97278.76154532211
554,01/03/2021/20:20,16.0165,67.73,0.09167,0.066,0.093,97904.24682066959
558,01/03/2021/21:00,15.264600000000002,69.5,0.0885799999999999,0.044,0.122,95040.75969292369
564,01/03/2021/22:00,13.3488,73.9,0.08652,0.077,0.148,87040.48387037641
566,01/03/2021/22:20,12.8132,76.3,0.08446,0.073,0.074,86337.47867496978
573,01/03/2021/23:30,11.9892,77.9,0.08549,0.051,0.096,76941.09820475357
574,01/03/2021/23:40,11.9892,77.7,0.08652,0.055,0.126,75392.62157160565
578,01/04/2021/00:20,11.3712,80.1,0.08961,0.07,0.141,63991.69509795935
579,01/04/2021/00:30,11.5463,78.5,0.08652,0.088,0.134,65101.66323641005
581,01/04/2021/00:50,11.227,77.8,0.08549,0.051,0.148,65542.13127007268
584,01/04/2021/01:20,10.8562,78.6,0.08755,0.106,0.111,56982.61056216745
585,01/04/2021/01:30,10.5678,79.9,0.08961,0.07,0.145,57698.343679632024
586,01/04/2021/01:40,10.3412,80.4,0.08961,0.059,0.126,58232.53940033949
588,01/04/2021/02:00,10.0734,81.5,0.08961,0.077,0.111,52851.974683803026
593,01/04/2021/02:50,10.0219,80.4,0.0885799999999999,0.084,0.159,52022.20439884461
596,01/04/2021/03:20,9.8159,80.7,0.08446,0.066,0.163,50175.66258127178
