,DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Energy city
0,12/31/2020/00:00,8.81577,73.8,0.08549,0.051,0.119,64520.469709858815
1,12/31/2020/00:10,8.66642,74.5,0.08549,0.07,0.085,65258.220062019944
4,12/31/2020/00:40,8.15863,75.7,0.08343,0.048,0.085,64845.0748145635
6,12/31/2020/01:00,7.87023,77.7,0.0824,0.048,0.096,58859.4445466112
7,12/31/2020/01:10,7.720880000000001,78.2,0.08755,0.055,0.093,60102.02379129876
11,12/31/2020/01:50,7.695130000000001,76.7,0.08549,0.059,0.126,60384.90402055808
13,12/31/2020/02:10,7.17704,78.8,0.08652,0.07,0.134,54207.911943885265
23,12/31/2020/03:50,7.00915,76.2,0.08343,0.059,0.134,51898.66273671158
30,12/31/2020/05:00,7.1420200000000005,72.9,0.08446,0.055,0.134,51808.94207035836
31,12/31/2020/05:10,6.9195400000000005,75.8,0.0824,0.051,0.152,53450.663666256165
33,12/31/2020/05:30,6.857740000000001,73.5,0.0824,0.044,0.104,52125.522338967225
34,12/31/2020/05:40,6.57346,76.9,0.08343,0.073,0.148,53407.05961653595
38,12/31/2020/06:20,6.97207,75.6,0.08446,0.099,0.063,50764.05033991807
40,12/31/2020/06:40,6.60024,76.7,0.08446,0.037,0.119,52610.33353263284
43,12/31/2020/07:10,6.70839,74.6,0.08652,0.055,0.134,43285.68514469528
49,12/31/2020/08:10,7.01121,73.1,0.08446,0.955,0.949,43768.64308730936
52,12/31/2020/08:40,6.53638,74.8,0.08446,12.64,10.13,46135.122049643185
61,12/31/2020/10:10,8.07108,71.3,2.7398,257.9,31.01,58173.00025311007
62,12/31/2020/10:20,8.23588,69.85,5.0779,282.7,31.96,59150.85994235079
65,12/31/2020/10:50,9.26279,66.14,5.06554,349.6,33.41,62667.75982201871
70,12/31/2020/11:40,13.4518,53.52,0.08446,430.9,37.58,64623.97831007781
71,12/31/2020/11:50,14.832,53.26,0.0824,437.5,43.46,64780.26510407828
75,12/31/2020/12:30,18.076500000000003,58.7,0.07725,486.1,39.46,69897.07468536148
80,12/31/2020/13:20,18.2619,59.33,0.07828,498.8,44.65,70099.89035782027
83,12/31/2020/13:50,18.2825,52.45,0.07931,482.4,38.65,69300.04777038109
86,12/31/2020/14:20,18.2516,55.86,0.07931,456.1,39.95,68694.5963269194
90,12/31/2020/15:00,18.1692,57.26,0.07931,409.0,44.9,67553.4245913493
95,12/31/2020/15:50,17.8602,58.7,0.07725,149.5,67.85,67832.01021733857
96,12/31/2020/16:00,17.849899999999998,59.23,0.07931,209.1,128.9,67908.55220152893
98,12/31/2020/16:20,18.0662,58.3,0.07828,241.3,246.0,66161.03090774118
103,12/31/2020/17:10,17.870500000000003,59.3,0.07931,132.0,163.0,74600.01387761507
107,12/31/2020/17:50,17.2113,61.87,0.0885799999999999,26.51,28.08,85692.2669925625
108,12/31/2020/18:00,16.9744,63.27,0.0824,18.0,18.29,89339.09439407011
109,12/31/2020/18:10,16.7787,63.94,0.08034,6.994,7.02,90789.47707254406
110,12/31/2020/18:20,16.5727,64.87,0.08034,2.818,2.763,91544.02627218008
114,12/31/2020/19:00,14.9453,68.35,0.07931,0.055,0.085,94112.32877553708
116,12/31/2020/19:20,14.1625,70.7,0.08137,0.055,0.126,93789.17514304568
118,12/31/2020/19:40,13.905,70.6,0.08034,0.059,0.074,96214.77063130659
120,12/31/2020/20:00,13.8226,71.2,0.07828,0.073,0.085,96616.63802965799
128,12/31/2020/21:20,13.8947,73.1,0.07931,0.044,0.085,92945.23701252365
130,12/31/2020/21:40,14.2552,68.78,0.07622,0.066,0.093,91646.7879989395
134,12/31/2020/22:20,15.6354,63.97,0.07725,0.081,0.093,87800.69282328432
144,01/01/2021/00:00,13.4003,75.8,0.07828,0.033,0.163,65240.973004784704
147,01/01/2021/00:30,12.6793,79.2,0.07828,0.091,0.134,63716.595707176915
