iter	RMSE
0	73094.48256
1	71258.39909
2	69438.7262
3	67573.25476
4	65839.02355
5	64264.58343
6	62644.55413
7	61174.86893
8	59658.37794
9	58213.01294
10	56702.21238
11	55418.22647
12	54117.02525
13	52991.36781
14	51822.60465
15	50666.20285
16	49481.28386
17	48453.46805
18	47416.90726
19	46413.18761
20	45416.72352
21	44450.46421
22	43592.64302
23	42734.16847
24	41902.72201
25	41102.815
26	40381.41543
27	39636.51551
28	38950.89057
29	38301.98081
30	37615.7888
31	36945.83859
32	36416.06799
33	35746.09951
34	35238.68944
35	34738.18976
36	34216.06906
37	33686.5142
38	33232.62083
39	32786.74287
40	32315.95829
41	31860.90614
42	31451.78439
43	31081.387
44	30680.98627
45	30287.74349
46	29876.31782
47	29504.11337
48	29222.01768
49	28926.95531
50	28612.94601
51	28285.68959
52	27979.87147
53	27730.92527
54	27436.5114
55	27167.27888
56	26909.6546
57	26662.64217
58	26413.08962
59	26198.58319
60	25943.89886
61	25733.86269
62	25486.3183
63	25277.90147
64	25052.88128
65	24823.72339
66	24646.12244
67	24453.93698
68	24282.18574
69	24100.28244
70	23918.49429
71	23787.15516
72	23643.89557
73	23500.22784
74	23340.11761
75	23217.28569
76	23085.59277
77	22957.71457
78	22810.18615
79	22684.76884
80	22552.51746
81	22418.98519
82	22311.69174
83	22192.41686
84	22080.49221
85	21974.11104
86	21842.88281
87	21758.9998
88	21670.19024
89	21551.14587
90	21421.1495
91	21315.90659
92	21219.34442
93	21085.95496
94	20994.31597
95	20911.51732
96	20798.46475
97	20734.39459
98	20646.76613
99	20552.74426
100	20487.06967
101	20394.70377
102	20297.6186
103	20209.79898
104	20112.10342
105	20039.95887
106	19938.58869
107	19852.60888
108	19781.43818
109	19704.62036
110	19635.61599
111	19553.22851
112	19482.42585
113	19415.7695
114	19351.89572
115	19288.47599
116	19235.50158
117	19174.37066
118	19105.15278
119	19029.18585
120	18960.40786
121	18888.86284
122	18832.9655
123	18774.60833
124	18705.40687
125	18625.99428
126	18586.14647
127	18512.46415
128	18465.24989
129	18377.73108
130	18335.66697
131	18284.26309
132	18233.37748
133	18174.51971
134	18120.74058
135	18058.47125
136	18013.43164
137	17966.47621
138	17916.71914
139	17866.13279
140	17810.46663
141	17759.33898
142	17726.55354
143	17689.5196
144	17662.21872
145	17618.39884
146	17571.79154
147	17539.60875
148	17494.2024
149	17448.56284
150	17416.92568
151	17380.49539
152	17353.49057
153	17307.70251
154	17244.09591
155	17195.0053
156	17155.30814
157	17125.00214
158	17083.81205
159	17046.41005
160	16996.67076
161	16972.26901
162	16925.75206
163	16883.40294
164	16833.85936
165	16778.41117
166	16749.35974
167	16725.79658
168	16666.85978
169	16625.98743
170	16592.35065
171	16529.15935
172	16470.96915
173	16431.7172
174	16396.34471
175	16344.6793
176	16310.86837
177	16279.05876
178	16233.48107
179	16211.11984
180	16168.56442
181	16114.66963
182	16077.53854
183	16061.42617
184	16033.08753
185	16008.99062
186	15975.31811
187	15924.07173
188	15873.42093
189	15842.05821
190	15802.42837
191	15772.50486
192	15733.83637
193	15704.49769
194	15678.76277
195	15632.8375
196	15600.85936
197	15565.76139
198	15540.00371
199	15479.35707
200	15457.07185
201	15435.68747
202	15402.94559
203	15358.32092
204	15319.45462
205	15293.22756
206	15275.72558
207	15238.24258
208	15195.94144
209	15178.47626
210	15141.02258
211	15097.80424
212	15064.61848
213	15036.71214
214	15005.27366
215	14955.30789
216	14916.3525
217	14889.37978
218	14870.26378
219	14838.9414
220	14813.4087
221	14791.39383
222	14748.07304
223	14725.16811
224	14679.20509
225	14662.96107
226	14627.71766
227	14606.98079
228	14565.35192
229	14533.04328
230	14513.5935
231	14499.94171
232	14479.88415
233	14435.12481
234	14401.06841
235	14363.57988
236	14339.4597
237	14299.72844
238	14270.53775
239	14237.77037
240	14224.19344
241	14191.00087
242	14151.61721
243	14117.65495
244	14081.83066
245	14035.02241
246	13998.99607
247	13971.75614
248	13936.59469
249	13912.87926
250	13875.81825
251	13843.25544
252	13814.93441
253	13778.99092
254	13767.50801
255	13742.36761
256	13710.2386
257	13697.25708
258	13685.89767
259	13670.9602
260	13652.41822
261	13619.58494
262	13608.22843
263	13581.74881
264	13551.97217
