iter	Passed	Remaining
0	3	3139
1	7	3057
2	11	3035
3	14	2960
4	18	2998
5	22	2947
6	25	2912
7	29	2890
8	32	2869
9	36	2870
10	40	2874
11	43	2882
12	47	2882
13	51	2864
14	54	2850
15	58	2860
16	61	2849
17	65	2847
18	69	2838
19	73	2853
20	77	2873
21	80	2863
22	84	2855
23	88	2868
24	92	2866
25	96	2858
26	99	2846
27	103	2849
28	106	2843
29	110	2833
30	114	2834
31	118	2842
32	122	2837
33	125	2830
34	129	2833
35	133	2837
36	137	2831
37	141	2834
38	145	2840
39	149	2838
40	152	2829
41	156	2821
42	159	2811
43	163	2807
44	167	2805
45	170	2801
46	174	2796
47	178	2790
48	182	2790
49	185	2782
50	188	2775
51	192	2769
52	196	2775
53	201	2777
54	205	2776
55	208	2771
56	212	2768
57	215	2762
58	219	2757
59	223	2752
60	227	2752
61	231	2751
62	235	2751
63	239	2750
64	243	2750
65	247	2748
66	251	2749
67	255	2750
68	259	2748
69	263	2749
70	267	2745
71	270	2738
72	274	2731
73	277	2724
74	281	2717
75	284	2711
76	288	2708
77	292	2704
78	295	2698
79	299	2691
80	302	2685
81	306	2680
82	309	2675
83	313	2669
84	316	2664
85	321	2665
86	324	2659
87	328	2655
88	331	2651
89	335	2646
90	339	2643
91	342	2638
92	346	2633
93	351	2638
94	355	2641
95	360	2642
96	364	2644
97	368	2642
98	373	2644
99	378	2647
100	382	2649
101	387	2653
102	391	2651
103	396	2654
104	401	2654
105	405	2652
106	409	2653
107	414	2654
108	418	2652
109	423	2655
110	427	2652
111	431	2649
112	434	2644
113	439	2642
114	442	2638
115	446	2634
116	450	2630
117	455	2629
118	459	2627
119	463	2626
120	467	2622
121	471	2619
122	475	2615
123	478	2610
124	482	2605
125	486	2600
126	489	2595
127	493	2590
128	497	2585
129	501	2583
130	504	2578
131	508	2574
132	512	2570
133	516	2566
134	520	2561
135	523	2556
136	527	2551
137	530	2546
138	534	2541
139	537	2535
140	541	2530
141	545	2525
142	548	2521
143	552	2515
144	555	2510
145	559	2505
146	563	2502
147	566	2497
148	570	2493
149	574	2488
150	578	2484
151	582	2481
152	585	2476
153	589	2471
154	593	2468
155	597	2464
156	600	2460
157	604	2454
158	607	2450
159	611	2445
160	614	2440
161	618	2436
162	622	2431
163	626	2430
164	630	2427
165	634	2425
166	638	2421
167	642	2418
168	647	2416
169	651	2412
170	654	2408
171	659	2406
172	663	2403
173	667	2399
174	671	2398
175	675	2393
176	678	2388
177	682	2383
178	686	2380
179	689	2375
180	693	2371
181	696	2366
182	700	2362
183	704	2358
184	706	2349
185	710	2344
186	713	2339
187	717	2335
188	721	2331
189	724	2327
190	728	2322
191	732	2320
192	736	2315
193	739	2310
194	743	2306
195	747	2302
196	750	2298
197	754	2293
198	757	2289
