PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_deck,Cabin_num,Cabin_side,Sex,TotalServices,MinServices,MeanServices,MaxServices
0001_01,1,0,1,39.0,0,0.0,0.0,0.0,0.0,0.0,0,2,0,1,0,0.0,0.0,0.0,0.0
0002_01,2,0,1,24.0,0,109.0,9.0,25.0,549.0,44.0,1,6,0,2,0,692.0,9.0,173.0,549.0
0003_01,1,0,1,58.0,1,43.0,3576.0,0.0,6715.0,49.0,0,1,0,2,1,10334.0,0.0,2583.5,6715.0
0003_02,1,0,1,33.0,0,0.0,1283.0,371.0,3329.0,193.0,0,1,0,2,1,4983.0,0.0,1245.75,3329.0
0004_01,2,0,1,16.0,0,303.0,70.0,151.0,565.0,2.0,1,6,1,2,1,1089.0,70.0,272.25,565.0
0005_01,2,0,2,44.0,0,0.0,483.0,0.0,291.0,0.0,1,6,0,1,0,774.0,0.0,193.5,483.0
0006_01,2,0,1,26.0,0,42.0,1539.0,3.0,0.0,0.0,1,6,2,2,1,1584.0,0.0,396.0,1539.0
0006_02,2,1,1,28.0,0,0.0,0.0,0.0,0.0,304.86,1,7,0,2,0,0.0,0.0,0.0,0.0
0007_01,2,0,1,35.0,0,0.0,785.0,17.0,216.0,0.0,1,6,3,2,0,1018.0,0.0,254.5,785.0
0008_01,1,1,3,14.0,0,0.0,0.0,0.0,0.0,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0
0008_02,1,1,1,34.0,0,0.0,0.0,174.73,0.0,0.0,1,2,1,1,1,174.73,0.0,43.6825,174.73
0008_03,1,0,3,45.0,0,39.0,7295.0,589.0,110.0,124.0,1,2,1,1,0,8033.0,39.0,2008.25,7295.0
0009_01,3,0,1,32.0,0,73.0,0.0,1123.0,0.0,113.0,1,6,1,1,1,1196.0,0.0,299.0,1123.0
0010_01,2,0,1,48.0,0,719.0,1.0,65.0,0.0,24.0,0,7,1,2,1,785.0,0.0,196.25,719.0
0011_01,2,0,1,28.0,0,8.0,974.0,12.0,2.0,7.0,1,6,2,1,0,996.0,2.0,249.0,974.0
0012_01,2,0,1,31.0,0,32.0,0.0,876.0,0.0,0.0,0,6,427,2,0,908.0,0.0,227.0,876.0
0014_01,3,0,3,27.0,0,1286.0,122.0,174.73,0.0,0.0,0,6,3,1,1,1582.73,0.0,395.6825,1286.0
0015_01,2,0,3,24.0,0,0.0,1.0,0.0,0.0,637.0,0,6,4,1,0,1.0,0.0,0.25,1.0
0016_01,3,1,1,45.0,0,0.0,0.0,0.0,0.0,0.0,1,6,5,1,1,0.0,0.0,0.0,0.0
0017_01,2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,1,7,0,1,0,0.0,0.0,0.0,0.0
0017_02,2,0,3,14.0,0,412.0,0.0,1.0,0.0,679.0,0,6,6,1,0,413.0,0.0,103.25,412.0
0020_01,2,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0,5,0,2,0,0.0,0.0,0.0,0.0
0020_02,2,1,3,49.0,0,0.0,0.0,0.0,0.0,0.0,0,5,0,2,0,0.0,0.0,0.0,0.0
0020_03,2,1,3,29.0,0,0.0,0.0,174.73,0.0,0.0,0,5,0,2,0,174.73,0.0,43.6825,174.73
0020_04,2,0,1,10.0,0,0.0,0.0,0.0,0.0,0.0,1,5,0,2,1,0.0,0.0,0.0,0.0
0020_05,2,1,2,1.0,0,224.69,0.0,0.0,0.0,0.0,0,5,0,2,1,224.69,0.0,56.1725,224.69
0020_06,2,0,1,7.0,0,0.0,0.0,0.0,0.0,0.0,0,5,0,2,1,0.0,0.0,0.0,0.0
0022_01,3,0,1,21.0,0,980.0,2.0,69.0,0.0,0.0,0,4,0,1,-1,1051.0,0.0,262.75,980.0
0024_01,1,1,1,62.0,0,0.0,0.0,174.73,0.0,0.0,1,3,2,2,1,174.73,0.0,43.6825,174.73
0025_01,2,0,1,15.0,0,0.0,225.0,0.0,998.0,0.0,0,6,6,2,1,1223.0,0.0,305.75,998.0
0026_01,1,0,3,34.0,0,22.0,6073.0,0.0,1438.0,328.0,0,3,0,1,0,7533.0,0.0,1883.25,6073.0
