HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Cabin_deck,Cabin_num,Cabin_side,Transported
1,0,1,39.0,0,0.0,0.0,0.0,0.0,0.0,2,0,1,0
2,0,1,24.0,0,109.0,9.0,25.0,549.0,44.0,6,0,2,1
1,0,1,58.0,1,43.0,3576.0,0.0,6715.0,49.0,1,0,2,0
1,0,1,33.0,0,0.0,1283.0,371.0,3329.0,193.0,1,0,2,0
2,0,1,16.0,0,303.0,70.0,151.0,565.0,2.0,6,1,2,1
2,0,2,44.0,0,0.0,483.0,0.0,291.0,0.0,6,0,1,1
2,0,1,26.0,0,42.0,1539.0,3.0,0.0,0.0,6,2,2,1
2,1,1,28.0,0,0.0,0.0,0.0,0.0,304.86,7,0,2,1
2,0,1,35.0,0,0.0,785.0,17.0,216.0,0.0,6,3,2,1
1,1,3,14.0,0,0.0,0.0,0.0,0.0,0.0,2,1,1,1
1,1,1,34.0,0,0.0,0.0,174.73,0.0,0.0,2,1,1,1
1,0,3,45.0,0,39.0,7295.0,589.0,110.0,124.0,2,1,1,1
3,0,1,32.0,0,73.0,0.0,1123.0,0.0,113.0,6,1,1,1
2,0,1,48.0,0,719.0,1.0,65.0,0.0,24.0,7,1,2,0
2,0,1,28.0,0,8.0,974.0,12.0,2.0,7.0,6,2,1,1
2,0,1,31.0,0,32.0,0.0,876.0,0.0,0.0,6,427,2,0
3,0,3,27.0,0,1286.0,122.0,174.73,0.0,0.0,6,3,1,0
2,0,3,24.0,0,0.0,1.0,0.0,0.0,637.0,6,4,1,0
3,1,1,45.0,0,0.0,0.0,0.0,0.0,0.0,6,5,1,1
2,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,7,0,1,1
2,0,3,14.0,0,412.0,0.0,1.0,0.0,679.0,6,6,1,0
2,1,1,1.0,0,0.0,0.0,0.0,0.0,0.0,5,0,2,0
2,1,3,49.0,0,0.0,0.0,0.0,0.0,0.0,5,0,2,0
2,1,3,29.0,0,0.0,0.0,174.73,0.0,0.0,5,0,2,0
2,0,1,10.0,0,0.0,0.0,0.0,0.0,0.0,5,0,2,1
2,1,2,1.0,0,224.69,0.0,0.0,0.0,0.0,5,0,2,0
2,0,1,7.0,0,0.0,0.0,0.0,0.0,0.0,5,0,2,0
3,0,1,21.0,0,980.0,2.0,69.0,0.0,0.0,4,0,1,0
1,1,1,62.0,0,0.0,0.0,174.73,0.0,0.0,3,2,2,1
2,0,1,15.0,0,0.0,225.0,0.0,998.0,0.0,6,6,2,0
1,0,3,34.0,0,22.0,6073.0,0.0,1438.0,328.0,3,0,1,0
3,0,1,43.0,0,1125.0,0.0,136.0,48.0,0.0,6,8,1,0
2,0,1,32.0,0,0.0,850.0,81.0,437.0,453.0,7,4,2,0
3,0,1,47.0,0,214.0,0.0,1411.0,0.0,1229.0,6,9,1,1
3,0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,6,9,1,1
